CODE,Address Code
100101,กรุงเทพมหานคร|พระนคร|พระบรมมหาราชวัง
100102,กรุงเทพมหานคร|พระนคร|วังบูรพาภิรมย์
100103,กรุงเทพมหานคร|พระนคร|วัดราชบพิธ
100104,กรุงเทพมหานคร|พระนคร|สำราญราษฎร์
100105,กรุงเทพมหานคร|พระนคร|ศาลเจ้าพ่อเสือ
100106,กรุงเทพมหานคร|พระนคร|เสาชิงช้า
100107,กรุงเทพมหานคร|พระนคร|บวรนิเวศ
100108,กรุงเทพมหานคร|พระนคร|ตลาดยอด
100109,กรุงเทพมหานคร|พระนคร|ชนะสงคราม
100110,กรุงเทพมหานคร|พระนคร|บ้านพานถม
100111,กรุงเทพมหานคร|พระนคร|บางขุนพรหม
100112,กรุงเทพมหานคร|พระนคร|วัดสามพระยา
100201,กรุงเทพมหานคร|ดุสิต|ดุสิต
100202,กรุงเทพมหานคร|ดุสิต|วชิรพยาบาล
100203,กรุงเทพมหานคร|ดุสิต|สวนจิตรลดา
100204,กรุงเทพมหานคร|ดุสิต|สี่แยกมหานาค
100206,กรุงเทพมหานคร|ดุสิต|ถนนนครไชยศรี
100301,กรุงเทพมหานคร|หนองจอก|กระทุ่มราย
100302,กรุงเทพมหานคร|หนองจอก|หนองจอก
100303,กรุงเทพมหานคร|หนองจอก|คลองสิบ
100304,กรุงเทพมหานคร|หนองจอก|คลองสิบสอง
100305,กรุงเทพมหานคร|หนองจอก|โคกแฝด
100306,กรุงเทพมหานคร|หนองจอก|คู้ฝั่งเหนือ
100307,กรุงเทพมหานคร|หนองจอก|ลำผักชี
100308,กรุงเทพมหานคร|หนองจอก|ลำต้อยติ่ง
100401,กรุงเทพมหานคร|บางรัก|มหาพฤฒาราม
100402,กรุงเทพมหานคร|บางรัก|สีลม
100403,กรุงเทพมหานคร|บางรัก|สุริยวงศ์
100404,กรุงเทพมหานคร|บางรัก|บางรัก
100405,กรุงเทพมหานคร|บางรัก|สี่พระยา
100502,กรุงเทพมหานคร|บางเขน|อนุสาวรีย์
100508,กรุงเทพมหานคร|บางเขน|ท่าแร้ง
100601,กรุงเทพมหานคร|บางกะปิ|คลองจั่น
100608,กรุงเทพมหานคร|บางกะปิ|หัวหมาก
100701,กรุงเทพมหานคร|ปทุมวัน|รองเมือง
100702,กรุงเทพมหานคร|ปทุมวัน|วังใหม่
100703,กรุงเทพมหานคร|ปทุมวัน|ปทุมวัน
