ICDO3.2,ICDO3.2_c,idd,beh,type,Level,Term_used,Term_raw
8000/0,8000,3,/0,,Preferred,"Neoplasm, benign","Neoplasm, benign"
8000/0,8000,4,/0,,Synonym,"Tumor, benign","Tumor, benign"
8000/0,8000,5,/0,,Synonym,"Unclassified tumor, benign","Unclassified tumor, benign"
8000/1,8000,6,/1,,Preferred,"Neoplasm, uncertain whether benign or malignant","Neoplasm, uncertain whether benign or malignant"
8000/1,8000,7,/1,,Synonym,"Neoplasm","Neoplasm"
8000/1,8000,8,/1,,Synonym,"Tumor","Tumor"
8000/1,8000,9,/1,,Synonym,"Unclassified tumor, borderline malignancy","Unclassified tumor, borderline malignancy"
8000/1,8000,10,/1,,Synonym,"Unclassified tumor, uncertain whether benign or malignant","Unclassified tumor, uncertain whether benign or malignant"
8000/3,8000,11,/3,cancer,Preferred,"Neoplasm, malignant","Neoplasm, malignant"
8000/3,8000,12,/3,cancer,Synonym,"Blastoma","Blastoma"
8000/3,8000,13,/3,cancer,Synonym,"Tumor, malignant","Tumor, malignant"
8000/3,8000,14,/3,cancer,Synonym,Cancer,Cancer
8000/3,8000,15,/3,cancer,Synonym,Malignancy,Malignancy
8000/3,8000,16,/3,cancer,Synonym,"Unclassified tumor, malignant","Unclassified tumor, malignant"
8000/6,8000,17,/6,,Preferred,"Neoplasm, metastatic","Neoplasm, metastatic"
8000/6,8000,18,/6,,Synonym,"Neoplasm, secondary","Neoplasm, secondary"
8000/6,8000,19,/6,,Synonym,Tumor embolus,Tumor embolus
8000/6,8000,20,/6,,Synonym,"Tumor, metastatic","Tumor, metastatic"
8000/6,8000,21,/6,,Synonym,"Tumor, secondary","Tumor, secondary"
8000/9,8000,22,/9,,Preferred,"Neoplasm, malignant, uncertain whether primary or metastatic","Neoplasm, malignant, uncertain whether primary or metastatic"
8000/9,8000,23,/9,,Synonym,"Unclassified tumor, malignant, uncertain whether primary or metastatic","Unclassified tumor, malignant, uncertain whether primary or metastatic"
8001/0,8001,24,/0,,Preferred,"Tumor cells, benign","Tumor cells, benign"
8001/1,8001,25,/1,,Preferred,"Tumor cells, uncertain whether benign or malignant","Tumor cells, uncertain whether benign or malignant"
8001/1,8001,26,/1,,Synonym,"Tumor cells","Tumor cells"
8001/3,8001,27,/3,cancer,Preferred,"Tumor cells, malignant","Tumor cells, malignant"
8002/3,8002,28,/3,cancer,Preferred,"Malignant tumor, small cell type","Malignant tumor, small cell type"
8003/3,8003,29,/3,cancer,Preferred,"Malignant tumor, giant cell type","Malignant tumor, giant cell type"
8004/3,8004,30,/3,cancer,Preferred,"Malignant tumor, spindle cell type","Malignant tumor, spindle cell type"
8004/3,8004,31,/3,cancer,Synonym,"Malignant tumor, fusiform cell type","Malignant tumor, fusiform cell type"
8005/0,8005,32,/0,,Preferred,"Clear cell tumor","Clear cell tumor"
8005/3,8005,33,/3,cancer,Preferred,"Malignant tumor, clear cell type","Malignant tumor, clear cell type"
8010/0,8010,35,/0,,Preferred,"Epithelial tumor, benign","Epithelial tumor, benign"
8010/2,8010,36,/2,,Preferred,"Carcinoma in situ","Carcinoma in situ"
8010/2,8010,37,/2,,Synonym,"Intraepithelial carcinoma","Intraepithelial carcinoma"
8010/3,8010,38,/3,cancer,Preferred,"Carcinoma","Carcinoma"
8010/3,8010,39,/3,cancer,Synonym,"Epithelial tumor, malignant","Epithelial tumor, malignant"
8010/3,8010,40,/3,cancer,Related,Heterotopia-associated carcinoma,Heterotopia-associated carcinoma
8010/6,8010,41,/6,,Preferred,"Carcinoma, metastatic","Carcinoma, metastatic"
8010/6,8010,42,/6,,Synonym,Secondary carcinoma,Secondary carcinoma
8010/9,8010,43,/9,,Preferred,Carcinomatosis,Carcinomatosis
8011/0,8011,44,/0,,Preferred,"Epithelioma, benign","Epithelioma, benign"
8011/3,8011,45,/3,cancer,Preferred,"Epithelioma, malignant","Epithelioma, malignant"
8011/3,8011,46,/3,cancer,Synonym,"Epithelioma","Epithelioma"
8012/3,8012,47,/3,cancer,Preferred,"Large cell carcinoma","Large cell carcinoma"
8013/3,8013,48,/3,cancer,Preferred,Large cell neuroendocrine carcinoma,Large cell neuroendocrine carcinoma
8013/3,8013,49,/3,cancer,Related,Combined large cell neuroendocrine carcinoma,Combined large cell neuroendocrine carcinoma
8014/3,8014,50,/3,cancer,Preferred,Large cell carcinoma with rhabdoid phenotype,Large cell carcinoma with rhabdoid phenotype
8015/3,8015,51,/3,cancer,Preferred,Glassy cell carcinoma,Glassy cell carcinoma
8020/3,8020,52,/3,cancer,Preferred,"Carcinoma, undifferentiated","Carcinoma, undifferentiated"
8020/3,8020,53,/3,cancer,Related,"Carcinoma, poorly differentiated","Carcinoma, poorly differentiated"
8020/3,8020,54,/3,cancer,Related,Anaplastic undifferentiated carcinoma,Anaplastic undifferentiated carcinoma
8020/3,8020,55,/3,cancer,Related,Dedifferentiated carcinoma,Dedifferentiated carcinoma
8021/3,8021,56,/3,cancer,Preferred,"Carcinoma, anaplastic","Carcinoma, anaplastic"
8022/3,8022,57,/3,cancer,Preferred,Pleomorphic carcinoma,Pleomorphic carcinoma
8023/3,8023,58,/3,cancer,Preferred,Nuclear protein in testis (NUT) associated carcinoma,Nuclear protein in testis (NUT) associated carcinoma
8023/3,8023,59,/3,cancer,Synonym,NUT carcinoma,NUT carcinoma
8023/3,8023,60,/3,cancer,Synonym,NUT midline carcinoma,NUT midline carcinoma
8030/3,8030,61,/3,cancer,Preferred,Giant cell and spindle cell carcinoma,Giant cell and spindle cell carcinoma
8031/3,8031,62,/3,cancer,Preferred,Giant cell carcinoma,Giant cell carcinoma
8032/3,8032,63,/3,cancer,Preferred,"Spindle cell carcinoma","Spindle cell carcinoma"
8033/3,8033,64,/3,cancer,Preferred,Pseudosarcomatous carcinoma,Pseudosarcomatous carcinoma
8033/3,8033,65,/3,cancer,Synonym,Sarcomatoid carcinoma,Sarcomatoid carcinoma
8034/3,8034,66,/3,cancer,Preferred,Polygonal cell carcinoma,Polygonal cell carcinoma
8035/3,8035,67,/3,cancer,Preferred,Carcinoma with osteoclast-like giant cells,Carcinoma with osteoclast-like giant cells
8035/3,8035,68,/3,cancer,Related,Squamous carcinoma with osteoclast-like giant cells,Squamous carcinoma with osteoclast-like giant cells
8035/3,8035,69,/3,cancer,Related,Undifferentiated carcinoma with osteoclast-like giant cells,Undifferentiated carcinoma with osteoclast-like giant cells
8040/0,8040,70,/0,,Preferred,"Tumorlet, benign","Tumorlet, benign"
8040/0,8040,71,/0,,Related,Diffuse idiopathic neuroendocrine cell hyperplasia,Diffuse idiopathic neuroendocrine cell hyperplasia
8040/1,8040,72,/1,,Preferred,"Tumorlet","Tumorlet"
8041/3,8041,73,/3,cancer,Preferred,"Small cell carcinoma","Small cell carcinoma"
8041/3,8041,74,/3,cancer,Synonym,Reserve cell carcinoma,Reserve cell carcinoma
8041/3,8041,75,/3,cancer,Synonym,Round cell carcinoma,Round cell carcinoma
8041/3,8041,76,/3,cancer,Related,Small cell neuroendocrine carcinoma,Small cell neuroendocrine carcinoma
8041/3,8041,77,/3,cancer,Synonym,"Small cell carcinoma, pulmonary type","Small cell carcinoma, pulmonary type"
8042/3,8042,78,/3,cancer,Preferred,Oat cell carcinoma,Oat cell carcinoma
8043/3,8043,79,/3,cancer,Preferred,"Small cell carcinoma, fusiform cell","Small cell carcinoma, fusiform cell"
8044/3,8044,80,/3,cancer,Preferred,"Small cell carcinoma, intermediate cell","Small cell carcinoma, intermediate cell"
8044/3,8044,81,/3,cancer,Related,"Small cell carcinoma, hypercalcemic type","Small cell carcinoma, hypercalcemic type"
8045/3,8045,82,/3,cancer,Preferred,Combined small cell carcinoma,Combined small cell carcinoma
8045/3,8045,83,/3,cancer,Synonym,Mixed small cell carcinoma,Mixed small cell carcinoma
8045/3,8045,84,/3,cancer,Related,Combined small cell-adenocarcinoma,Combined small cell-adenocarcinoma
8045/3,8045,85,/3,cancer,Related,Combined small cell-large cell carcinoma,Combined small cell-large cell carcinoma
8045/3,8045,86,/3,cancer,Related,Combined small cell-squamous cell carcinoma,Combined small cell-squamous cell carcinoma
8046/3,8046,87,/3,cancer,Preferred,Non-small cell carcinoma,Non-small cell carcinoma
8050/0,8050,89,/0,,Preferred,"Papilloma","Papilloma"
8050/2,8050,90,/2,,Preferred,Papillary carcinoma in situ,Papillary carcinoma in situ
